"","sample","bottle","bottle_number","sample_time","spike","spike_time","days","Fe.2.mg_L","Fe.3.mg_L","Fe_total.Mg_L","sulfide..ug.L."
"AB1","AB1","AB1","AB1t1","T1","Antibiotics","ABT1",6,NA,NA,NA,""
"AB1.1","AB1.1","AB1","AB1t2","T2","Antibiotics","ABT2",20,NA,NA,NA,""
"AB1.2","AB1.2","AB1","AB1t3","T3","Antibiotics","ABT3",29,NA,NA,NA,""
"AB1.4","AB1.4","AB1","AB1t5","T5","Antibiotics","ABT5",50,NA,NA,NA,""
"AB1.5","AB1.5","AB1","AB1t7","T6","Antibiotics","ABT6",65,24,15,39,"10300"
"AB2","AB2","AB2","AB2t1","T1","Antibiotics","ABT1",6,NA,NA,NA,""
"AB2.1","AB2.1","AB2","AB2t2","T2","Antibiotics","ABT2",20,NA,NA,NA,""
"AB2.2","AB2.2","AB2","AB2t3","T3","Antibiotics","ABT3",29,NA,NA,NA,""
"AB2.3","AB2.3","AB2","AB2t4","T4","Antibiotics","ABT4",40,NA,NA,NA,""
"AB2.4","AB2.4","AB2","AB2t5","T5","Antibiotics","ABT5",50,NA,NA,NA,""
"AB2.5","AB2.5","AB2","AB2t7","T6","Antibiotics","ABT6",65,40,16,56,"6400"
"AB3","AB3","AB3","AB3t1","T1","Antibiotics","ABT1",6,NA,NA,NA,""
"AB3.1","AB3.1","AB3","AB3t2","T2","Antibiotics","ABT2",20,NA,NA,NA,""
"AB3.2","AB3.2","AB3","AB3t3","T3","Antibiotics","ABT3",29,NA,NA,NA,""
"AB3.3","AB3.3","AB3","AB3t5","T5","Antibiotics","ABT5",50,NA,NA,NA,""
"AB3.4","AB3.4","AB3","AB3t7","T6","Antibiotics","ABT6",65,50,10,60,"5600"
"Fe1","Fe1","Fe1","Fe1t1","T1","Fe(OH)3","FeT1",6,NA,NA,NA,""
"Fe1.1","Fe1.1","Fe1","Fe1t2","T2","Fe(OH)3","FeT2",20,NA,NA,NA,""
"Fe1.2","Fe1.2","Fe1","Fe1t3","T3","Fe(OH)3","FeT3",29,NA,NA,NA,""
