	ABK1	ABK1.1	ABK1.2	ABK1.3	ABK1.4	ABK1.5	ABK1.6	ABK2	ABK2.1	ABK2.2	ABK2.3	ABK2.4	ABK2.5	ABK2.6	ABK3	ABK3.1	ABK3.2	ABK3.3	ABK3.4	ABK3.5	ABK3.6	FeK1	FeK1.1	FeK1.2	FeK1.3	FeK1.4	FeK1.5	FeK1.6	FeK2	FeK2.1	FeK2.2	FeK2.3	feK2	FeK2.4	FeK2.5	FeK3	FeK3.1	FeK3.2	FeK3.3	FeK3.4	FeK3.5	FeK3.6	NK1	NK1.1	NK1.2	NK1.3	NK2	NK2.1	NK2.2	NK2.3	NK3	NK3.1	NK3.2	NK3.3	NK4	NK4.1	NK4.2	NK4.3	NK4.4	NK4.5	NK4.6	NK5	NK5.1	NK5.2	NK5.3	NK5.4	NK5.5	NK5.6	NK6	NK6.1	NK6.2	NK6.3	NK6.4	NK6.5	NK6.6	SK1	SK1.1	SK1.2	SK1.3	SK2	SK2.1	SK2.2	SK2.3	SK2.4	SK2.5	SK2.6	SK3	SK3.1	SK3.2	SK3.3	SK3.4	SK3.5	SK3.6
ASV_1	1095	293	149	456	604	3	461	1	417	445	378	511	233	756	14	145	454	725	959	471	376	2	45	179	504	531	215	763	5	325	237	168	226	52	961	3	237	313	166	731	299	8	421	401	177	310	8	0	561	651	23	28	7	444	371	230	268	14	3	17	18	1	52	3	21	86	822	2	3	159	306	430	148	179	1	338	309	735	359	12	527	339	220	449	341	136	2	367	282	47	384	365	447
ASV_2	1003	342	138	478	572	2	471	2	425	474	348	472	178	727	13	166	372	767	962	484	375	0	57	166	475	527	194	826	7	365	279	159	198	34	855	2	227	311	174	708	266	13	464	393	164	298	3	2	521	695	17	42	10	456	353	223	234	6	2	13	12	1	47	8	16	103	722	2	2	176	291	392	131	161	0	329	280	692	362	16	514	294	202	420	332	134	3	355	275	60	413	345	423
ASV_3	943	255	133	438	508	1	366	3	334	370	308	398	153	596	12	138	348	634	820	430	292	1	56	127	341	434	178	626	11	291	215	134	173	41	780	3	204	256	148	591	237	7	343	337	163	244	11	1	456	569	20	23	5	344	322	179	210	6	6	10	14	1	53	4	9	63	634	1	4	121	230	391	144	143	0	308	260	607	278	12	404	266	192	366	304	120	4	270	252	31	305	277	361
ASV_4	904	256	112	414	477	1	367	0	305	354	299	432	139	591	6	87	305	602	691	371	308	1	38	106	350	446	167	650	11	294	217	106	165	30	725	1	196	253	131	632	242	9	370	343	169	215	8	1	413	546	23	31	2	335	303	212	179	8	1	8	15	0	41	6	13	51	604	1	1	115	224	353	112	126	0	296	221	527	260	7	427	234	161	324	294	126	1	236	235	40	339	288	346
ASV_5	790	213	114	370	417	3	343	1	305	311	257	353	160	547	10	100	283	494	671	364	253	3	36	122	299	393	147	620	9	248	199	111	157	34	711	1	164	249	126	558	226	1	324	312	126	208	5	0	366	514	22	18	5	286	244	151	163	9	1	12	16	2	42	10	15	56	571	1	0	110	196	268	95	121	0	259	221	521	267	9	351	241	150	326	260	100	1	252	203	28	275	246	306
ASV_6	805	205	83	397	441	2	347	0	334	318	281	354	144	533	10	109	301	509	623	329	282	1	39	98	274	390	139	588	4	247	170	106	151	38	683	3	185	214	149	538	232	3	285	268	123	202	2	1	374	456	12	21	2	321	245	166	169	4	2	9	17	0	33	5	10	48	577	0	0	96	177	263	96	124	0	245	214	477	235	12	365	248	134	288	237	102	0	225	195	35	291	250	300
ASV_7	26	19	19	337	791	1	48	4	860	543	228	228	130	220	1	470	360	319	159	72	25	3	335	257	74	115	40	19	10	478	269	393	47	18	128	1	709	118	47	108	29	0	328	729	1001	109	5	1	99	56	8	13	767	936	9	64	9	45	16	8	25	0	21	1116	8	861	738	6	227	653	419	270	45	97	2	156	74	97	15	3	219	201	58	53	24	34	4	441	232	13	41	26	12
ASV_8	443	679	46	123	32	1	183	2	9	169	371	398	141	441	0	57	304	888	504	358	549	0	3	120	228	153	113	300	2	53	241	768	168	179	304	0	48	119	385	217	41	1	1	78	277	506	1	0	10	324	3	1	3	6	1	14	1	1	0	2	6	0	27	2	0	3	4	1	1	2	13	347	401	291	0	241	418	805	508	7	924	606	289	397	316	56	6	52	276	79	519	601	670
ASV_9	11	20	24	312	788	0	47	1	764	520	217	218	135	244	2	446	352	326	139	87	26	0	354	261	69	101	32	12	2	484	248	371	54	27	121	0	767	135	49	103	23	0	318	723	919	92	4	0	93	55	7	10	756	918	3	33	5	46	12	2	14	2	14	1137	12	840	700	3	201	714	390	238	48	85	5	146	69	100	15	5	195	212	41	81	32	22	4	365	244	10	40	28	13
ASV_10	785	217	101	321	420	2	291	3	223	257	209	310	139	478	6	87	208	495	603	283	258	0	33	98	381	343	131	607	6	214	182	87	126	30	579	2	151	179	91	423	188	7	294	302	96	202	0	0	401	514	8	17	2	326	239	140	152	6	2	5	14	1	24	2	13	48	537	2	1	109	214	279	85	90	0	218	160	653	203	7	436	222	157	253	232	95	1	209	190	28	263	221	289
ASV_11	383	601	51	139	27	0	192	1	10	177	326	359	151	391	2	64	252	836	480	363	526	0	3	107	209	162	85	287	5	65	267	766	142	160	299	0	40	113	427	228	42	0	0	86	238	446	3	1	7	295	2	2	3	3	0	11	0	0	1	1	5	0	33	3	0	0	3	1	0	2	13	339	382	266	0	246	419	726	418	6	785	544	255	357	290	59	2	43	222	87	488	602	633
ASV_12	673	230	101	328	408	3	318	1	278	287	242	303	140	490	4	85	227	475	610	312	218	0	31	116	296	365	122	535	5	235	176	99	138	23	563	2	142	193	110	480	208	5	294	244	123	195	1	2	345	403	9	23	1	261	243	139	141	4	0	10	17	0	34	2	11	43	514	2	1	100	169	254	87	110	0	189	188	504	237	10	362	188	112	256	245	92	1	205	171	23	288	230	300
ASV_13	694	216	90	332	392	4	276	1	226	268	212	295	124	502	5	102	268	447	616	299	229	2	38	97	262	329	112	503	5	226	153	85	117	25	561	1	149	223	110	506	169	8	245	275	113	152	3	1	342	407	13	14	4	273	238	145	137	11	1	7	10	0	33	2	14	39	479	1	1	93	190	279	85	111	0	211	189	432	197	7	315	187	118	281	233	69	2	207	177	26	243	248	270
ASV_14	676	186	97	312	371	0	297	2	224	290	232	260	137	470	6	87	267	474	602	313	235	0	40	82	260	368	128	528	4	208	183	90	126	41	598	1	148	189	127	467	154	15	296	252	108	200	1	1	344	429	11	25	0	289	219	156	141	10	3	10	9	0	28	11	11	58	462	1	1	110	186	239	91	107	0	218	167	448	220	5	317	193	102	248	228	73	3	176	171	32	256	183	261
ASV_15	664	191	96	308	351	0	271	1	244	224	226	290	134	434	10	101	243	475	578	299	212	0	38	84	245	313	141	492	6	215	168	89	140	38	576	1	171	221	113	449	174	9	265	214	86	182	4	1	327	394	18	20	2	243	231	138	119	2	2	15	8	2	35	5	11	55	456	2	2	91	148	257	79	90	0	193	160	425	213	3	271	187	113	231	196	93	0	173	189	27	237	195	256
ASV_16	15	18	12	276	692	0	39	2	779	438	179	197	104	197	2	362	301	266	132	55	31	1	311	201	67	100	31	13	5	426	201	280	44	16	102	2	685	97	41	90	23	2	274	544	793	93	12	2	86	48	7	6	624	768	2	51	3	42	12	11	14	1	14	980	12	716	637	3	181	555	387	252	48	86	9	147	54	103	9	5	172	163	49	50	27	20	3	368	221	20	32	35	14
ASV_17	685	200	89	341	373	0	255	0	193	216	166	268	135	402	2	72	192	414	518	232	200	0	24	100	337	278	104	509	6	160	183	83	100	25	493	0	128	150	97	328	167	3	291	227	96	177	3	0	349	396	8	9	4	281	209	111	136	5	2	10	10	0	26	4	10	43	452	0	0	78	155	228	82	90	1	187	149	547	152	7	393	197	119	246	213	76	1	162	154	27	225	188	276
