sample,bottle ,bottle_number,sample_time,spike,spike_time,Date Started,Date Removed,days,pH,Fe+2 mg_L,Fe+3 mg_L,Fe_total Mg_L,sulfide final [ug/L] ,sulfate final
ABK1,ABK1,ABK1t1,T1,Antibiotics,ABKT1,,,,,,,,,
ABK1.1,ABK1,ABK1t2,T2,Antibiotics,ABKT2,,,,,,,,,
ABK1.2,ABK1,ABK1t3,T3,Antibiotics,ABKT3,,,,,,,,,
ABK1.3,ABK1,ABK1t4,T4,Antibiotics,ABKT4,,,,,,,,,
ABK1.4,ABK1,ABK1t5,T5,Antibiotics,ABKT5,,,,,,,,,
ABK1.5,ABK1,ABK1t6,T6,Antibiotics,ABKT6,,,,,,,,,
ABK1.6,ABK1,ABK1t7,T7,Antibiotics,ABKT7,190128,190405,67,5.5,91,,127,"11,900.00",0
ABK2,ABK2,ABK2t1,T1,Antibiotics,ABKT1,,,,,,,,,
ABK2.1,ABK2,ABK2t2,T2,Antibiotics,ABKT2,,,,,,,,,
ABK2.2,ABK2,ABK2t3,T3,Antibiotics,ABKT3,,,,,,,,,
ABK2.3,ABK2,ABK2t4,T4,Antibiotics,ABKT4,,,,,,,,,
ABK2.4,ABK2,ABK2t5,T5,Antibiotics,ABKT5,,,,,,,,,
ABK2.5,ABK2,ABK2t6,T6,Antibiotics,ABKT6,,,,,,,,,
ABK2.6,ABK2,ABK2t7,T7,Antibiotics,ABKT7,190128,190405,67,5.5,56,,88,"21,500.00",0
ABK3,ABK3,ABK3t1,T1,Antibiotics,ABKT1,,,,,,,,,
ABK3.1,ABK3,ABK3t2,T2,Antibiotics,ABKT2,,,,,,,,,
ABK3.2,ABK3,ABK3t3,T3,Antibiotics,ABKT3,,,,,,,,,
ABK3.3,ABK3,ABK3t4,T4,Antibiotics,ABKT4,,,,,,,,,
ABK3.4,ABK3,ABK3t5,T5,Antibiotics,ABKT5,,,,,,,,,
ABK3.5,ABK3,ABK3t6,T6,Antibiotics,ABKT6,,,,,,,,,
ABK3.6,ABK3,ABK3t7,T7,Antibiotics,ABKT7,190128,190405,67,5.5,88,,113,"10,200.00",0
FeK1,FeK1,FeK1t1,T1,Fe(OH)3,FeKT1,,,,,,,,,
FeK1.1,FeK1,FeK1t2,T2,Fe(OH)3,FeKT2,,,,,,,,,
FeK1.2,FeK1,FeK1t3,T3,Fe(OH)3,FeKT3,,,,,,,,,
FeK1.3,FeK1,FeK1t4,T4,Fe(OH)3,FeKT4,,,,,,,,,
FeK1.4,FeK1,FeK1t5,T5,Fe(OH)3,FeKT5,,,,,,,,,
FeK1.5,FeK1,FeK1t6,T6,Fe(OH)3,FeKT6,,,,,,,,,
FeK1.6,FeK1,FeK1t7,T7,Fe(OH)3,FeKT7,190128,190404,66,5.5,20,,30,"12,800.00",0
FeK2,FeK2,FeK2t1,T1,Fe(OH)3,FeKT1,,,,,,,,,
FeK2.1,FeK2,FeK2t2,T2,Fe(OH)3,FeKT2,,,,,,,,,
FeK2.2,FeK2,FeK2t3,T3,Fe(OH)3,FeKT3,,,,,,,,,
FeK2.3,FeK2,FeK2t4,T4,Fe(OH)3,FeKT4,,,,,,,,,
feK2,FeK2,FeK2t5,T5,Fe(OH)3,FeKT5,,,,,,,,,
FeK2.4,FeK2,FeK2t6,T6,Fe(OH)3,FeKT6,,,,,,,,,
FeK2.5,FeK2,FeK2t7,T7,Fe(OH)3,FeKT7,190128,190404,66,5.5,29.3,,14,"18,100.00",0
FeK3,FeK3,FeK3t1,T1,Fe(OH)3,FeKT1,,,,,,,,,
FeK3.1,FeK3,FeK3t2,T2,Fe(OH)3,FeKT2,,,,,,,,,
FeK3.2,FeK3,FeK3t3,T3,Fe(OH)3,FeKT3,,,,,,,,,
FeK3.3,FeK3,FeK3t4,T4,Fe(OH)3,FeKT4,,,,,,,,,
FeK3.4,FeK3,FeK3t5,T5,Fe(OH)3,FeKT5,,,,,,,,,
FeK3.5,FeK3,FeK3t6,T6,Fe(OH)3,FeKT6,,,,,,,,,
FeK3.6,FeK3,FeK3t7,T7,Fe(OH)3,FeKT7,190128,190404,66,5.5,11.7,,27.7,"17,300.00",0
NK1,NK1,NK1t1,T1,killed_control,NKT1,,,,,,,,,
NK1.1,NK1,NK1t2,T2,killed_control,NKT2,,,,,,,,,
NK1.2,NK1,NK1t3,T3,killed_control,NKT3,,,,,,,,,
NK1.3,NK1,NK1t4,T4,killed_control,NKT4,190128,190311,42,5.5,24,,43,"3,450.00",0
NK2,NK2,NK2t1,T1,killed_control,NKT1,,,,,,,,,
NK2.1,NK2,NK2t2,T2,killed_control,NKT2,,,,,,,,,
NK2.2,NK2,NK2t3,T3,killed_control,NKT3,,,,,,,,,
NK2.3,NK2,NK2t4,T4,killed_control,NKT4,190128,190311,42,5.5,54,,69,"3,750.00",0
NK3,NK3,NK3t1,T1,killed_control,NKT1,,,,,,,,,
NK3.1,NK3,NK3t2,T2,killed_control,NKT2,,,,,,,,,
NK3.2,NK3,NK3t3,T3,killed_control,NKT3,,,,,,,,,
NK3.3,NK3,NK3t4,T4,killed_control,NKT4,190128,190311,42,5.5,37,,44,"2,520.00",0
NK4,NK4,NK4t1,T1,killed_control,NKT1,,,,,,,,,
NK4.1,NK4,NK4t2,T2,killed_control,NKT2,,,,,,,,,
NK4.2,NK4,NK4t3,T3,killed_control,NKT3,,,,,,,,,
NK4.3,NK4,NK4t4,T4,killed_control,NKT4,,,,,,,,,
NK4.4,NK4,NK4t5,T5,killed_control,NKT5,,,,,,,,,
NK4.5,NK4,NK4t6,T6,killed_control,NKT6,,,,,,,,,
NK4.6,NK4,NK4t7,T7,killed_control,NKT7,190128,190405,67,5.5,11,,55,"4,300.00",0
NK5,NK5,NK5t1,T1,killed_control,NKT1,,,,,,,,,
NK5.1,NK5,NK5t2,T2,killed_control,NKT2,,,,,,,,,
NK5.2,NK5,NK5t3,T3,killed_control,NKT3,,,,,,,,,
NK5.3,NK5,NK5t4,T4,killed_control,NKT4,,,,,,,,,
NK5.4,NK5,NK5t5,T5,killed_control,NKT5,,,,,,,,,
NK5.5,NK5,NK5t6,T6,killed_control,NKT6,,,,,,,,,
NK5.6,NK5,NK5t7,T7,killed_control,NKT7,190128,190405,67,5.5,16,,277,"17,900.00",0
NK6,NK6,NK6t1,T1,killed_control,NKT1,,,,,,,,,
NK6.1,NK6,NK6t2,T2,killed_control,NKT2,,,,,,,,,
NK6.2,NK6,NK6t3,T3,killed_control,NKT3,,,,,,,,,
NK6.3,NK6,NK6t4,T4,killed_control,NKT4,,,,,,,,,
NK6.4,NK6,NK6t5,T5,killed_control,NKT5,,,,,,,,,
NK6.5,NK6,NK6t6,T6,killed_control,NKT6,,,,,,,,,
NK6.6,NK6,NK6t7,T7,killed_control,NKT7,190128,190405,67,5.5,30,,250,"8,900.00",0
SK1,SK1,SK1t3,T3,Na2SO4,SKT3,,,,,,,,,
SK1.1,SK1,SK1t4,T4,Na2SO4,SKT4,,,,,,,,,
SK1.2,SK1,SK1t5,T5,Na2SO4,SKT5,,,,,,,,,
SK1.3,SK1,SK1t7,T7,Na2SO4,SKT7,190128,190405,67,5.5,116,,150,"23,100.00","2,300.00"
SK2,SK2,SK2t1,T1,Na2SO4,SKT1,,,,,,,,,
SK2.1,SK2,SK2t2,T2,Na2SO4,SKT2,,,,,,,,,
SK2.2,SK2,SK2t3,T3,Na2SO4,SKT3,,,,,,,,,
SK2.3,SK2,SK2t4,T4,Na2SO4,SKT4,,,,,,,,,
SK2.4,SK2,SK2t5,T5,Na2SO4,SKT5,,,,,,,,,
SK2.5,SK2,SK2t6,T6,Na2SO4,SKT6,,,,,,,,,
SK2.6,SK2,SK2t7,T7,Na2SO4,SKT7,190128,190405,67,5.5,37,,52,"3,600.00","1,700.00"
SK3,SK3,SK3t1,T1,Na2SO4,SKT1,,,,,,,,,
SK3.1,SK3,SK3t2,T2,Na2SO4,SKT2,,,,,,,,,
SK3.2,SK3,SK3t3,T3,Na2SO4,SKT3,,,,,,,,,
SK3.3,SK3,SK3t4,T4,Na2SO4,SKT4,,,,,,,,,
SK3.4,SK3,SK3t5,T5,Na2SO4,SKT5,,,,,,,,,
SK3.5,SK3,SK3t6,T6,Na2SO4,SKT6,,,,,,,,,
SK3.6,SK3,SK3t7,T7,Na2SO4,SKT7,190128,190405,67,5.5,90,,101,"11,200.00","1,800.00"
