	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_1	626	976	644	0	164	367	270	148	171	154	45	192	174	777	331	175	239	187	334	528	228	284	602	141	960	974	455	233	278	827	274	162	21	286	493	294	418	269	607	636	430	410	243	534	464	424	555	41	1578	639	569	678	536	37	421	392	720	797	411	586	676	604	427	31	16	9	501	493	518	406	400	675	738	602	734	172	840	1430	776	479	542	197	462
ASV_2	621	994	632	3	163	346	275	122	199	120	43	201	177	787	351	153	211	184	360	541	239	261	575	140	997	947	427	227	260	878	246	161	16	294	443	327	455	238	541	613	468	395	257	515	528	471	540	52	1639	579	586	697	525	33	421	352	785	805	426	608	670	537	410	26	14	11	529	433	484	392	390	784	729	575	686	161	781	1410	748	485	573	237	438
ASV_3	522	815	547	1	165	277	223	113	155	113	42	168	161	646	277	157	175	169	307	461	198	251	542	118	796	812	366	196	239	656	224	135	9	251	378	245	387	202	472	535	357	330	202	430	414	367	472	45	1287	528	509	574	459	17	376	297	600	672	347	489	499	471	332	28	9	9	413	383	376	321	327	567	603	517	633	109	668	1135	663	442	487	194	332
ASV_4	481	792	461	0	141	270	222	92	162	110	37	175	155	595	263	119	174	140	282	456	202	244	499	114	742	715	353	186	242	650	232	130	15	246	375	227	373	213	458	516	357	301	215	419	446	361	441	32	1291	504	458	559	445	31	336	280	602	672	339	523	514	438	360	21	4	2	386	361	397	315	305	540	590	456	607	121	672	1108	585	382	475	192	346
ASV_5	452	737	432	3	116	249	200	83	131	78	27	162	129	572	248	118	176	141	243	369	195	217	497	111	726	698	327	179	205	625	195	114	11	216	339	208	308	174	432	411	301	321	175	380	314	311	368	25	1150	483	434	545	393	16	310	225	512	598	276	412	464	430	279	27	11	4	350	315	360	264	308	569	565	425	546	113	558	1027	575	342	386	176	334
ASV_6	441	655	445	0	113	241	217	95	133	109	42	157	134	588	224	102	192	120	247	368	152	183	448	112	715	696	305	165	166	560	208	132	9	215	332	216	276	186	414	442	317	296	168	366	333	315	375	35	1202	397	390	485	358	31	299	244	534	547	280	425	466	441	294	19	7	3	387	292	326	265	247	481	504	407	497	111	578	963	584	304	405	174	295
ASV_7	393	589	431	0	115	237	194	78	101	90	24	141	122	459	221	95	123	101	237	344	149	183	437	95	663	641	296	128	165	553	172	95	15	173	271	168	245	127	391	432	293	253	148	310	304	254	355	24	1030	410	350	441	316	25	257	215	515	535	324	384	413	374	229	21	4	6	299	290	296	237	227	425	466	413	438	116	517	899	470	326	369	156	285
ASV_8	372	602	353	4	109	203	187	86	114	78	23	130	96	443	196	93	129	129	169	341	152	170	415	86	582	605	268	152	176	592	161	97	11	199	292	164	282	172	349	417	296	259	178	283	337	284	349	28	1034	393	321	415	383	21	293	248	442	499	260	390	405	323	288	21	4	4	302	263	326	247	245	466	490	359	430	99	529	898	474	283	412	139	250
ASV_9	373	581	390	0	125	191	193	87	104	80	29	125	113	463	212	106	138	109	225	327	141	167	362	115	601	642	279	114	172	495	154	119	14	150	271	169	258	127	340	390	267	219	154	306	281	279	338	19	968	385	349	427	329	27	253	221	430	506	251	409	412	352	272	21	7	6	321	308	319	197	260	439	442	379	407	86	483	771	473	304	351	123	260
ASV_10	408	580	376	0	114	198	177	76	123	69	22	141	71	426	197	89	137	101	200	294	122	145	374	79	606	555	234	132	214	671	137	84	7	167	254	148	289	148	338	371	278	244	143	273	307	235	341	35	936	345	320	313	317	18	263	285	508	485	212	330	420	315	348	17	2	3	322	273	272	256	211	500	475	359	441	81	484	886	435	338	407	124	233
